2018,,,,,,,,,,,,,,,,,,,,
,,TEAM,POS,GMS,RECEIVING,,,,,,,,RUSHING,,,,FUMBLES,,PPG,FPTS
RK,NAME,,,,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,,
96,Ryan Griffin,CHI,TE,15,8,4,50,26,0,18,3.2,6.5,0,0,0,0,0,0,0.4,6.6
96,Tyler Davis O,GB,TE,17,7,4,57.1,26,0,23,3.7,6.5,0,0,0,0,0,0,0.4,6.6
100,Stone Smartt,LAC,TE,7,5,4,80,17,0,8,3.4,4.2,0,0,0,0,0,0,0.8,5.7
101,Ben Ellefson,MIN,TE,4,3,3,100,26,0,12,8.7,8.7,0,0,0,0,0,0,1.4,5.6
102,Kendall Blanton,LAR,TE,4,2,2,100,35,0,28,17.5,17.5,0,0,0,0,0,0,1.4,5.5
103,Jesper Horsted,LV,TE,15,4,3,75,19,0,9,4.8,6.3,0,0,0,0,0,0,0.3,4.9
104,Maxx Williams,ARI,TE,11,3,3,100,18,0,7,6,6,0,0,0,0,0,0,0.4,4.8
105,Cole Turner,WAS,TE,10,9,2,22.2,23,0,18,2.6,11.5,0,0,0,0,0,0,0.4,4.3
106,Stephen Anderson,ARI,TE,16,7,3,42.9,9,0,6,1.3,3,0,0,0,0,0,0,0.2,3.9
107,Sean McKeon,DAL,TE,13,3,2,66.7,11,0,10,3.7,5.5,0,0,0,0,0,0,0.2,3.1
108,Mason Schreck,HOU,TE,3,2,2,100,6,0,6,3,3,0,0,0,0,0,0,0.9,2.6
109,Devin Asiasi,CIN,TE,12,4,2,50,5,0,6,1.2,2.5,0,0,0,0,0,0,0.2,2.5
110,Jeremy Ruckert,NYJ,TE,9,2,1,50,8,0,8,4,8,0,0,0,0,0,0,0.2,1.8
110,Drew Sample,CIN,TE,2,2,2,100,-2,0,2,-1,-1,0,0,0,0,0,0,0.9,1.8
112,Tommy Sweeney,BUF,TE,5,1,1,100,7,0,7,7,7,0,0,0,0,0,0,0.3,1.7
113,Richard Rodgers,LAC,TE,10,4,1,25,4,0,4,1,4,0,0,0,0,0,0,0.1,1.4
114,Cethan Carter,MIA,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Hunter Long PUP,MIA,TE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Tanner Conner PUP,MIA,TE,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Feleipe Franks IR,ATL,TE,11,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
114,Charlie Woerner,SF,TE,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Jake Tonges,CHI,TE,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Noah Togiai,PHI,TE,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Jesse James,CLE,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Kenny Yeboah,NYJ,TE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Miller Forristall,CLE,TE,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Kevin Rader,TEN,TE,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,J.P. Holtz,NO,TE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Nick Muse,MIN,TE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Matt Sokol,NE,TE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Jacob Hollister,LV,TE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Jared Pinkney,LAR,TE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Nikola Kalinic,IND,TE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Tyree Jackson,PHI,TE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Roger Carter Jr.,LAR,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Lucas Krull,NO,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Chase Allen,CHI,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Garrett Griffin,DET,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Scotty Washington,NE,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
