2018,,,,,,,,,,,,,,,,
,,TEAM,POS,GMS,RUSHING,,,,RECEIVING,,,,FUMBLES,,PPG,FPTS
RK,NAME,,,,ATT,YDS,AVG,TD,TGTS,REC,YDS,TD,FUM,LST,,
117,Troymaine Pope,LAC,RB,14,10,20,2,0,3,2,14,1,1,1,0.7,9.4
117,Khari Blasingame,TEN,FB,6,0,0,0,0,5,4,54,0,0,0,1.6,9.4
120,Kenjon Barner,ATL,RB,14,4,28,7,0,8,6,22,0,4,1,0.7,9.12
121,Jon Hilliman,NYG,RB,3,30,91,3,0,4,3,1,0,2,2,2.7,8.2
122,Devine Ozigbo,JAX,RB,10,9,27,3,0,5,3,23,0,0,0,0.8,8
123,Dwayne Washington,NO,RB,15,8,60,7.5,0,1,1,6,0,0,0,0.5,7.6
124,Elijhaa Penny,NYG,RB,16,15,39,2.6,0,4,2,9,0,0,0,0.4,6.8
125,Taiwan Jones,HOU,RB,11,9,40,4.4,0,1,1,9,0,0,0,0.5,5.9
126,Nick Bawden,DET,FB,10,0,0,0,0,6,4,17,0,0,0,0.6,5.7
127,Anthony Sherman,KC,FB,16,4,9,2.2,0,3,2,22,0,0,0,0.3,5.1
128,Paul Perkins,DET,RB,4,12,29,2.4,0,1,1,9,0,0,0,1.2,4.8
129,CJ Anderson,DET,RB,2,16,43,2.7,0,0,0,0,0,0,0,2.2,4.3
129,T.J. Logan,TB,RB,12,3,10,3.3,0,3,2,13,0,0,0,0.4,4.3
131,Tyler Ervin,GB,RB,8,1,10,10,0,4,2,11,0,2,0,0.5,4.1
132,Zach Zenner,MIA,RB,5,3,-2,-0.7,0,3,2,19,0,0,0,0.7,3.7
133,Keith Smith,ATL,FB,16,5,8,1.6,0,4,1,13,0,0,0,0.2,3.1
134,Jay Ajayi,PHI,RB,3,10,30,3,0,1,0,0,0,0,0,1,3
135,Dalyn Dawkins,TEN,RB,2,11,26,2.4,0,1,0,0,0,0,0,1.3,2.6
136,Roosevelt Nix,PIT,FB,3,0,0,0,0,3,2,4,0,0,0,0.8,2.4
137,Ricky Ortiz,NO,FB,1,0,0,0,0,1,1,8,0,0,0,1.8,1.8
138,Samaje Perine,MIA,RB,7,5,16,3.2,0,0,0,0,0,0,0,0.2,1.6
139,Jason Cabinda,DET,FB,4,0,0,0,0,0,0,0,0,0,0,0.4,1.5
139,Jakob Johnson,NE,FB,2,0,0,0,0,2,1,5,0,0,0,0.8,1.5
141,Senorise Perry,BUF,RB,11,3,3,1,0,1,1,1,0,0,0,0.1,1.4
142,Damien Harris,NE,RB,3,4,12,3,0,0,0,0,0,0,0,0.4,1.2
142,Josh Adams,NYJ,RB,3,8,12,1.5,0,0,0,0,0,0,0,0.4,1.2
144,Dexter Williams,GB,RB,4,5,11,2.2,0,0,0,0,0,0,0,0.3,1.1
145,Buddy Howell,HOU,RB,16,5,10,2,0,0,0,0,0,0,0,0.1,1
146,Jordan Scarlett,CAR,RB,9,4,9,2.2,0,0,0,0,0,0,0,0.1,0.9
146,John Kelly Jr.,LAR,RB,4,3,9,3,0,0,0,0,0,0,0,0.2,0.9
146,Josh Ferguson,WAS,RB,2,3,9,3,0,0,0,0,0,0,0,0.4,0.9
149,Ryan Nall,CHI,RB,8,2,8,4,0,0,0,0,0,0,0,0.1,0.8
150,Tony Brooks-James,PIT,RB,3,8,7,0.9,0,0,0,0,0,0,0,0.2,0.7
151,De'Lance Turner,MIA,RB,8,4,6,1.5,0,0,0,0,0,0,0,0.1,0.6
152,Alfred Morris,ARI,RB,1,1,4,4,0,0,0,0,0,0,0,0.4,0.4
153,James Develin,NE,FB,2,2,3,1.5,0,0,0,0,0,0,0,0.2,0.3
154,Chandler Cox,MIA,FB,13,0,0,0,0,0,0,0,0,0,0,0,0
154,David Fluellen,TEN,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
154,Trenton Cannon,NYJ,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
154,Jamize Olawale,DAL,FB,16,0,0,0,0,2,0,0,0,0,0,0,0
154,Trayveon Williams,CIN,RB,11,0,0,0,0,0,0,0,0,0,0,0,0
154,Rod Smith,LV,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
154,Austin Walter IR,NYG,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
154,D.J. Foster,ARI,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
154,Michael Burton,WAS,FB,10,0,0,0,0,1,0,0,0,0,0,0,0
154,Craig Reynolds,WAS,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
